date,upi_volume,upi_value,Volume_Growth,Value_Growth,Rolling_Mean_Growth,Rolling_Volatility,Trend,Seasonal,Residual,STL_Anomaly
13-07-2021,1419.22,26954.63,0.535470469,0.508791187,0.008523604,0.091821225,1030.636683,11.69192706,376.8913896,TRUE
06-08-2023,2988.15,36438.5,-0.161202216,-0.369795497,0.000736437,0.03378798,3500.350381,-48.66485198,-463.5355289,TRUE
14-10-2023,3320.07,41345.44,-0.136740536,-0.264901869,0.000891706,0.037584104,3748.13171,-30.06423258,-397.997477,TRUE
10-11-2023,4289.39,75086.84,0.052063712,0.056393886,0.002955001,0.040092608,3861.755948,-7.220853124,434.8549054,TRUE
11-11-2023,4390.4,69374.71,0.023548803,-0.07607365,0.003107144,0.040142065,3804.318377,-50.04466746,636.1262902,TRUE
31-12-2023,4210.39,54242.21,0.053242611,-0.178174607,0.002805237,0.035357878,3889.001411,-31.65125569,353.0398451,TRUE
25-03-2024,3707.24,40085.56,-0.168720626,-0.169478164,7.82E-05,0.033188239,4263.638376,58.90709865,-615.3054743,TRUE
01-04-2024,4081.77,65707.52,-0.089762259,0.103752076,0.001331727,0.036465012,4472.406728,70.43237091,-461.0690987,TRUE
17-06-2024,4315.9,51569.15,-0.090675415,-0.044587574,0.000670758,0.037573831,4607.441768,59.18529061,-350.7270585,TRUE
01-09-2024,5114.21,69073.83,0.031785517,-0.09755495,0.001817822,0.028411006,4660.395255,-75.68813311,529.5028779,TRUE
02-09-2024,5111.79,86274.07,-0.000473191,0.249012397,0.002103665,0.028240513,4673.665587,-3.341410661,441.4658241,TRUE
03-09-2024,5158.92,81437.03,0.009219862,-0.056065977,0.002015893,0.028204234,4829.909794,-119.4416096,448.4518159,TRUE
04-09-2024,5276.83,83685.23,0.022855559,0.027606606,0.00235911,0.028247311,4869.299975,16.39515337,391.1348714,TRUE
05-09-2024,5275.53,80797.4,-0.00024636,-0.03450824,0.002479162,0.028210075,4900.457601,-29.84877898,404.9211779,TRUE
26-09-2024,4804.61,66459.08,-0.001602138,0.004415196,0.001183665,0.025212477,5117.64991,62.96565209,-376.0055617,TRUE
29-09-2024,4773.76,50108.87,-0.036903734,-0.191482966,0.000847481,0.025217325,5265.831844,-24.37424937,-467.6975946,TRUE
29-10-2024,5652.74,87452.79,0.061376003,0.057409776,0.002699493,0.026183947,5179.212217,-37.77740635,511.3051896,TRUE
31-10-2024,6441.18,85323.03,0.178703773,-0.094969655,0.004062022,0.031754651,5194.044503,-51.04661941,1298.182116,TRUE
31-12-2024,5947.44,93147.85,0.132220297,0.188235218,0.002603811,0.03686004,5508.403135,-14.56086482,453.5977299,TRUE
01-03-2025,6314.25,101627.92,0.051215159,0.042249023,0.002495116,0.026129558,5925.754691,-49.7881718,438.2834806,TRUE
13-03-2025,6421.01,85570.94,0.06710574,-0.02333883,0.001823599,0.027707367,5844.851058,-69.37092246,645.5298646,TRUE
14-03-2025,5149.85,51067.26,-0.197968855,-0.40321726,-0.00027489,0.034138406,5832.451167,31.41803552,-714.0192023,TRUE
26-03-2025,5505.09,75842.65,-0.053692002,-0.048525153,0.000915786,0.036707721,5951.578506,16.26647866,-462.7549846,TRUE
01-04-2025,5297.18,74937,-0.063640911,-0.013740147,0.000806872,0.039375697,6118.825066,-15.5884947,-806.0565709,TRUE
06-04-2025,5882.73,68150.47,-0.065611891,-0.245282829,0.002393223,0.043374607,6174.315789,63.36325536,-354.9490445,TRUE
12-04-2025,5542.96,68876.63,-0.106353273,-0.192516035,0.000732012,0.042941455,6121.308345,109.9280016,-688.2763461,TRUE
02-05-2025,6372.71,100248.07,0.01630986,0.034018897,0.002628466,0.044668054,5981.595096,13.44884914,377.6660548,TRUE
12-05-2025,5586.78,78333.03,-0.072453422,0.198823445,0.000173432,0.043904944,6088.449131,-5.816453338,-495.8526776,TRUE
01-06-2025,6443.07,82861.02,0.043187459,-0.109258821,0.002313444,0.044584589,5988.056301,-87.4704711,542.4841699,TRUE
02-06-2025,6502.55,106309.47,0.009231624,0.282985293,0.002393331,0.044589809,6002.958099,40.72967027,458.8622311,TRUE
03-06-2025,6487.37,97443.74,-0.002334469,-0.083395487,0.002457205,0.044578299,6057.712342,-121.5563107,551.2139683,TRUE
06-06-2025,6583.48,93649.21,0.026434651,-0.030145888,0.002749431,0.044410495,6140.604276,17.31321793,425.5625062,TRUE
29-07-2025,5908.51,73041.58,-0.027564232,-0.042789553,0.000298208,0.022382547,6282.156212,53.16155872,-426.807771,TRUE
01-08-2025,6693.32,103856.25,0.056518596,0.050411456,0.001668397,0.023567056,6443.392579,-116.1380822,366.0655032,TRUE
02-08-2025,7072.16,102420.12,0.056599714,-0.013828056,0.002270476,0.024191694,6500.508645,186.8386226,384.812732,TRUE
08-08-2025,7212.7,93002.51,0.071158601,-0.001864103,0.00189704,0.025391267,6561.80838,-142.4507352,793.3423549,TRUE
27-08-2025,5935.56,62308.47,-0.074936335,-0.19245435,0.000321402,0.026247009,6372.277455,92.33693438,-529.0543891,TRUE
28-08-2025,5976.77,74062.22,0.0069429,0.188638078,0.000564619,0.026193969,6383.251433,-32.49108647,-373.9903466,TRUE
01-10-2025,7056.18,106297.2,0.046646988,0.02980417,0.002102599,0.02682851,6636.554234,28.44419918,391.1815666,TRUE
18-10-2025,7543.7,102753.58,0.058800577,0.045666294,0.001805815,0.028497911,6774.332542,19.13356322,750.2338944,TRUE
19-10-2025,7390.42,85667.27,-0.020318942,-0.166284328,0.001747828,0.028537338,6651.696967,-39.86561092,778.5886439,TRUE
20-10-2025,7172.68,74285.26,-0.029462466,-0.132862994,0.00147509,0.028705178,6573.138861,63.40835893,536.1327802,TRUE
01-11-2025,7042.17,108113.06,0.071932842,0.072178233,0.002160094,0.034278758,6548.747415,30.1909138,463.2316712,TRUE
02-11-2025,7040.1,88237.13,-0.000293943,-0.183843932,0.002236973,0.0342644,6607.358402,-47.17007069,479.9116683,TRUE
04-11-2025,6913.88,104828.1,0.001536953,0.00326164,0.001858191,0.034313815,6722.656875,-286.1181382,477.3412627,TRUE
02-12-2025,7268.16,112235.89,0.018493061,-0.027839591,0.00193905,0.030501651,6885.227579,-78.69959606,461.6320172,TRUE
