date,upi_volume,upi_value
2020-06-01,476.9671,10413.108974581
2020-06-02,476.78182,9951.298586321
2020-06-03,456.2593,9622.37521347
2020-06-04,463.04959,9639.502868508
2020-06-05,464.79398,9539.524729484
2020-06-06,458.64927,9119.199541725
2020-06-07,427.25912,6874.997300074
2020-06-08,469.99287,10062.170486206
2020-06-09,466.98338,9786.85765725
2020-06-10,461.58058,9839.41028404
2020-06-11,449.65,9499.97
2020-06-12,453.42912,9288.433725751
2020-06-13,289.00253,4333.739248967
2020-06-14,435.87,7238.232876260001
2020-06-15,463.91469,9725.940723531
2020-06-16,469.24346,9361.873619612
2020-06-17,446.58304,9087.238502439
2020-06-18,433.31743,8793.3234418
2020-06-19,440.29209,8512.468178525
2020-06-20,437.74652,8280.129005688
2020-06-21,356.52732,4938.442783352
2020-06-22,459.5468,9375.196451475
2020-06-23,452.99435,8650.023156345998
2020-06-24,477.54,8942.45
2020-06-25,456.49271,8531.518240163
2020-06-26,455.45,8660.95
2020-06-27,436.26,7586.08
2020-06-28,397.91,5544.8
2020-06-29,430.17,8825.17
2020-06-30,505.09,11811.09
2020-07-01,515.18,11611.71
2020-07-02,481.96,10494.44
2020-07-03,507.41,10735.45
2020-07-04,498.77,10114.58
2020-07-05,432.52,7115.05
2020-07-06,503.34,10863.0
2020-07-07,496.02,10438.01
2020-07-08,509.11,10642.44
2020-07-09,485.14,10059.96
2020-07-10,451.5,9324.23
2020-07-11,500.95,9024.34
2020-07-12,434.05,6282.22
2020-07-13,518.52,10469.79
2020-07-14,519.6,10312.04
2020-07-15,499.18,10118.86
2020-07-16,479.81,9451.87
2020-07-17,472.6,9034.77
2020-07-18,462.3,8380.13
2020-07-19,410.87,5766.61
2020-07-20,461.25,8829.0
2020-07-21,437.49,8301.25
2020-07-22,496.81,9735.93
2020-07-23,470.34,8878.82
2020-07-24,483.32,9348.16
2020-07-25,466.6,7787.59
2020-07-26,414.17,5659.17
2020-07-27,501.87,9884.21
2020-07-28,497.54,9580.56
2020-07-29,488.78,9301.61
2020-07-30,525.93,10592.09
2020-07-31,550.61,12399.97
2020-08-01,554.43,10981.35
2020-08-02,501.86,8082.04
2020-08-03,508.98,9804.57
2020-08-04,526.55,11230.53
2020-08-05,492.26,10226.47
2020-08-06,459.74,9517.22
2020-08-07,504.21,10464.83
2020-08-08,538.93,9938.8
2020-08-09,440.12,6578.76
2020-08-10,511.87,10388.9
2020-08-11,578.27,11411.04
2020-08-12,558.47,10962.22
2020-08-13,539.19,10585.91
2020-08-14,539.34,10316.23
2020-08-15,489.26,7615.92
2020-08-16,460.73,6513.29
2020-08-17,491.93,9319.65
2020-08-18,492.12,8825.77
2020-08-19,543.21,10080.86
2020-08-20,556.27,10676.16
2020-08-21,548.43,9893.06
2020-08-22,498.88,7381.02
2020-08-23,468.13,6217.56
2020-08-24,551.02,10572.5
2020-08-25,561.84,10383.43
2020-08-26,552.49,10182.13
2020-08-27,544.74,10028.61
2020-08-28,549.31,10209.71
2020-08-29,545.21,9725.31
2020-08-30,493.79,6981.95
