entity name,remitter_volume,remitter_value,beneficiary_volume,beneficiary_value,avg_remitter_ticket,avg_beneficiary_ticket,total_volume,avg_ticket,bank_segment
a b e coop bank,0.00075,1.82596445,0.00075,1.3854213,2434.6192666666666,1847.2284,0.0015,2140.9238333333333,Niche / Regional Bank
abhinandan urban coop bank,0.02968,25.44151724,0.04054,21.75714562,857.1939770889487,536.6834144055254,0.07022,696.938695747237,Universal Bank
abhinandan urban coop bank amravati,5.7555,118.363698938,3.19619,110.623707997,20.565319944053517,34.61111761096806,8.95169,27.58821877751079,Universal Bank
abhivriddhi mahila sahakara bank niyamita,0.0,0.0,1e-05,0.003,,300.0,1e-05,,Niche / Regional Bank
abhyudaya,1558.78377,14431.7662121,559.83819,12602.2812677,9.258350317632573,22.51057804345216,2118.62196,15.884464180542366,Universal Bank
abhyudaya cooperative bank,0.86886,417.4594131,1.08349,577.6125572,480.46798460051104,533.1037270302448,1.95235,506.78585581537794,Universal Bank
abhyudaya mahila urban coop bank ltd channapatna,0.0,0.0,2e-05,0.15,,7499.999999999999,2e-05,,Niche / Regional Bank
ace coop bank,0.00043,0.4408254,0.00441,4.531306292,1025.1753488372092,1027.50709569161,0.00484,1026.3412222644097,Niche / Regional Bank
ace cooperative bank,1.41662,19.892351708,0.20955,8.325006495,14.042122593214835,39.728019541875454,1.62617,26.885071067545145,Universal Bank
adarniya p d patil sah,0.0,0.0,0.01125,5.8847383,,523.087848888889,0.01125,,Niche / Regional Bank
adarniya p d patilsaheb sahakari bank ltd karad,19.08382,269.43217254,9.812289999999999,207.913764009,14.118356416063452,21.189117322154157,28.89611,17.653736869108805,Universal Bank
adarsh cooperative bank,0.0,0.0,0.17604,95.4847306,,542.4036048625313,0.17604,,Niche / Regional Bank
adarsh cooperative bank rajasthan,42.60951,787.22474679,28.31297,1150.49419557,18.475329727800204,40.634882019441974,70.92248000000001,29.555105873621088,Universal Bank
adarsh mahila mercantile cooperative bank,0.0,0.0,0.00356,1.83567898,,515.6401629213483,0.00356,,Niche / Regional Bank
adhyapaka urban coop bank,0.0,0.0,0.00029,0.108078,,372.68275862068964,0.00029,,Niche / Regional Bank
adinath coop bank,0.03214,17.71591468,0.03767,24.01112251,551.2107865588052,637.407021767985,0.06981000000000001,594.3089041633951,Universal Bank
adv shamraoji shinde satyashodhak sahakar bank,0.0015,2.0746519,0.00352,1.29951358,1383.1012666666668,369.1799943181818,0.00502,876.1406304924243,Niche / Regional Bank
agartala co operative urban,0.0,0.0,0.00015,0.2360768,,1573.8453333333334,0.00015,,Niche / Regional Bank
agra zila sahkari bank,0.00476,5.897565273,0.01431,10.543227554000001,1238.98430105042,736.7734139762405,0.01907,987.8788575133303,Niche / Regional Bank
agroha coop bank,0.0,0.0,0.00312,2.063421,,661.3528846153846,0.00312,,Niche / Regional Bank
agroha cooperative urban bank,0.33729,6.290878275,0.22403,7.983120854,18.651244552165792,35.63415995179217,0.56132,27.14270225197898,Retail Bank
ahmedabad district,456.32107,6272.6709403,192.11935,5114.4050608,13.746178628788718,26.620978369955967,648.44042,20.18357849937234,Universal Bank
ahmedabad district coop bank,0.57069,528.7199774,0.60443,502.169256,926.4574066480925,830.8145790248664,1.1751200000000002,878.6359928364794,Universal Bank
ahmedabad mercantile coop bank,0.4153,272.1705873,0.4323,244.2949241,655.3589869973514,565.1050754105945,0.8476,610.232031203973,Universal Bank
ahmednagar merchants coop bank,61.72956,1504.60324011,40.96414,1678.82944657,24.37411250153087,40.98290472032368,102.6937,32.678508610927274,Universal Bank
ahmednagar shahar sahakari bank,0.04743,31.78758022,0.08258,39.78165855,670.1998781362007,481.7347850569145,0.13001000000000001,575.9673315965576,Universal Bank
ahmednagar shahar sahakari bank maryadit,19.11052,384.80458667,8.90674,304.475415,20.135746524427383,34.18483249763663,28.01726,27.160289511032005,Universal Bank
ahmednagar zilla prathmik shikshak sahakari bank l,0.00174,4.3717023,0.00281,7.6165415,2512.4725862068967,2710.5129893238436,0.00455,2611.49278776537,Niche / Regional Bank
airtel,49793.77118,256316.28075,42890.26189,428129.04845,5.147557107563508,9.981963960677508,92684.03307,7.5647605341205075,Universal Bank
airtel payments,31461.17119,172542.75085,22451.95742,229463.17696,5.484307936534895,10.220185824670962,53913.12861,7.852246880602928,Universal Bank
ajmer central cooperative bank,0.0,0.0,0.00516,4.446802,,861.7833333333334,0.00516,,Niche / Regional Bank
akhand anand coop bank,20.90786,540.28675057,9.57605,454.00154532,25.84132238163064,47.410105974801716,30.48391,36.62571417821618,Universal Bank
akola urban coop bank,0.4076,186.7642539,0.31725,190.7910604,458.2047446025515,601.3902613081167,0.72485,529.797502955334,Universal Bank
alavi co operative bank,4.8389299999999995,90.719872848,3.9913700000000003,101.51938029,18.7479200666263,25.434720481939785,8.8303,22.091320274283042,Universal Bank
alavi coop bank,0.02103,11.08792636,0.05703,14.45218958,527.243288635283,253.4138099246011,0.07805999999999999,390.328549279942,Universal Bank
alibag co op urban bank ltd alibag,0.00238,2.197580507,0.0083,5.7318294,923.3531542016806,690.5818554216867,0.01068,806.9675048116836,Niche / Regional Bank
