bank,market_share,market_share_squared,HHI
state bank of india,0.25952952356299197,0.06735557360083361,0.10041754106594854
hdfc,0.10947342100875995,0.011984429907361205,0.10041754106594854
bank of baroda,0.05901165969283254,0.003482375979702677,0.10041754106594854
union bank of india,0.05515675666169432,0.0030422678054373604,0.10041754106594854
axis,0.054050414620237845,0.002921447320619621,0.10041754106594854
icici,0.05295469426395364,0.0028041996445888045,0.10041754106594854
punjab national,0.05076139349723089,0.0025767190697807145,0.10041754106594854
canara,0.04370968457258064,0.001910536525434494,0.10041754106594854
kotak mahindra,0.03598261325155938,0.0012947484564112969,0.10041754106594854
bank of india,0.028827615607508583,0.0008310314216142724,0.10041754106594854
indian,0.02602963941682304,0.0006775421281698278,0.10041754106594854
central bank of india,0.01466006625494636,0.000214917542599417,0.10041754106594854
indian overseas,0.013750491658660682,0.00018907602085489698,0.10041754106594854
idbi,0.012518022526627618,0.0001567008879771565,0.10041754106594854
federal,0.01230153133010942,0.00015132767306566362,0.10041754106594854
indusind,0.010635892452646362,0.00011312220826425985,0.10041754106594854
yes,0.010241972209887486,0.00010489799474810756,0.10041754106594854
uco,0.010107787152150216,0.00010216736111317297,0.10041754106594854
india post payments,0.009187650704851317,8.44129254743549e-05,0.10041754106594854
bank of maharashtra,0.00892695768391468,7.969057349040334e-05,0.10041754106594854
karnataka,0.006927908253512331,4.799591276908428e-05,0.10041754106594854
karur vysya,0.006330445196747067,4.007453638901801e-05,0.10041754106594854
airtel,0.006125406882101698,3.752060947129885e-05,0.10041754106594854
bandhan,0.005835995695813154,3.4058845761549653e-05,0.10041754106594854
the south indian,0.004473531987192195,2.001248844043175e-05,0.10041754106594854
idfc,0.00425844126318638,1.813432199200841e-05,0.10041754106594854
airtel payments,0.004123400005730415,1.700242760725759e-05,0.10041754106594854
au small finance,0.003976200672501528,1.58101717880016e-05,0.10041754106594854
the jammu kashmir,0.0035396717617128706,1.2529276180667498e-05,0.10041754106594854
city union,0.0034568436548339035,1.1949768053965419e-05,0.10041754106594854
tamilnad mercantile,0.002953388790237246,8.722505346299023e-06,0.10041754106594854
idfc first bank,0.00271147230891692,7.352082082023254e-06,0.10041754106594854
hdfc bank,0.0026098887375492416,6.8115192223863745e-06,0.10041754106594854
punjab and sind,0.002484972424457328,6.175087950313331e-06,0.10041754106594854
ujjivan small finance,0.002323387016569263,5.398127228762621e-06,0.10041754106594854
fino payment,0.002170600640018556,4.711507138448965e-06,0.10041754106594854
standard chartered,0.001816347405673289,3.2991178980960876e-06,0.10041754106594854
kerala gramin,0.0017961538906149338,3.2261687987711636e-06,0.10041754106594854
dbs bank india,0.0017392258536165434,3.024906569888194e-06,0.10041754106594854
icici banking corporation,0.0015647567503996114,2.4484636879211517e-06,0.10041754106594854
rbl,0.001521515647553881,2.3150098657513055e-06,0.10041754106594854
equitas small finance,0.0015213533846575344,2.3145161210089357e-06,0.10041754106594854
esaf small finance bank,0.0014749398911402204,2.1754476824767253e-06,0.10041754106594854
telangana grameena,0.0014449854302931555,2.0879828937594957e-06,0.10041754106594854
saraswat,0.0014085077274495358,1.9838940182850557e-06,0.10041754106594854
rajasthan marudhara gramin,0.0013437466005303872,1.805654926436972e-06,0.10041754106594854
maharashtra gramin,0.0013283541446303473,1.7645247335566216e-06,0.10041754106594854
fino payments bank limited fip,0.0012776012968772116,1.6322650737823328e-06,0.10041754106594854
andhra pragathi grameena,0.0012129171736699868,1.4711680701835889e-06,0.10041754106594854
sbi cards and payment services,0.0011814115135647617,1.3957331643833811e-06,0.10041754106594854
axis bank,0.0011173966666895888,1.248575310729004e-06,0.10041754106594854
karnataka gramin,0.0010410148524552041,1.0837119230323304e-06,0.10041754106594854
sarva haryana gramin,0.001005060246903375,1.0101460999054733e-06,0.10041754106594854
andhra pradesh grameena vikas bank imps,0.0009338408415950831,8.720587174310132e-07,0.10041754106594854
hsbc,0.0008879605471284256,7.884739332566129e-07,0.10041754106594854
baroda up,0.0008162961520019324,6.663394077731619e-07,0.10041754106594854
kotak mahindra bank,0.0007781708702122619,6.055499032469089e-07,0.10041754106594854
jio payments bank,0.0007571302982896795,5.73246288588219e-07,0.10041754106594854
karnataka gramin erstwhile pragathi krishna gramin,0.0007196479837656193,5.178932205379211e-07,0.10041754106594854
csb,0.0006974172956493526,4.863908842708566e-07,0.10041754106594854
baroda rajasthan kshetriya gramin,0.0006663276705247831,4.439925645069839e-07,0.10041754106594854
karnataka vikas grameena,0.0005648389100236086,3.1904299427665815e-07,0.10041754106594854
thane janata sahakari,0.0005581718686592104,3.1155583496251487e-07,0.10041754106594854
utkarsh small finance,0.0005579977615413436,3.1136150188515017e-07,0.10041754106594854
dhanalakshmi,0.0005560303277569518,3.0916972538550324e-07,0.10041754106594854
dcb,0.0005450688838798894,2.971000881740684e-07,0.10041754106594854
the shamrao vithal cooperative bank,0.0005135519433797931,2.6373559854916224e-07,0.10041754106594854
chattisgarh rajya gramin,0.0004880195233341301,2.3816305515527157e-07,0.10041754106594854
the cosmos cooperative bank,0.00047586065187049214,2.2644335999860972e-07,0.10041754106594854
prathama up gramin,0.0004657345131176923,2.169086367089739e-07,0.10041754106594854
tri o tech solutions private,0.0004592953656739311,2.109522329295501e-07,0.10041754106594854
chaitanya godavari grameena,0.00042051076302853795,1.768293018228432e-07,0.10041754106594854
dakshin bihar gramin,0.0004156311403762717,1.7274924485048007e-07,0.10041754106594854
jana small finance bank,0.0004058119109587452,1.6468330707598854e-07,0.10041754106594854
mizoram rural,0.00038617928114756443,1.491344371876496e-07,0.10041754106594854
baroda up erstwhile baroda uttar pradesh gramin,0.00038598905810413716,1.4898755297611897e-07,0.10041754106594854
one mobikwik systems,0.00035649104176764697,1.2708586286058222e-07,0.10041754106594854
