entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%
state bank of india,10859954.86,7936867.78,25.95295236,18.96739984
hdfc,4580890.813,4460120.475,10.9473421,10.65872467
bank of baroda,2469329.699,1948922.284,5.901165969,4.657503344
union bank of india,2308022.144,1842322.699,5.515675666,4.402753357
axis,2261727.509,3858239.311,5.405041462,9.220358674
icici,2215877.336,2747157.582,5.295469426,6.565113307
punjab national,2124099.156,1677761.198,5.07613935,4.00948691
canara,1829021.973,1587843.404,4.370968457,3.794602803
kotak mahindra,1505684.402,1282100.33,3.598261325,3.06394289
bank of india,1206285.126,964018.5998,2.882761561,2.303796251
indian,1089204.439,958620.0015,2.602963942,2.290894767
central bank of india,613447.193,505186.6578,1.466006625,1.207287005
indian overseas,575386.2475,483056.0467,1.375049166,1.154399624
idbi,523813.8524,427365.0038,1.251802253,1.02131006
federal,514754.8267,557425.4824,1.230153133,1.332126514
indusind,445056.5405,451793.3351,1.063589245,1.079688496
yes,428573.036,3669929.101,1.024197221,8.770337943
uco,422958.0923,376538.65,1.010778715,0.899846051
india post payments,384455.1885,343110.7238,0.91876507,0.819960527
bank of maharashtra,373546.5474,319622.5158,0.892695768,0.763828783
karnataka,289896.7711,253358.9129,0.692790825,0.605473083
karur vysya,264896.0632,238239.0154,0.63304452,0.569339794
airtel,256316.2808,428129.0485,0.612540688,1.023135961
bandhan,244205.9344,229770.0341,0.58359957,0.549100757
the south indian,187193.9453,169812.6105,0.447353199,0.405815464
idfc,178193.5221,178428.5117,0.425844126,0.426405607
airtel payments,172542.7509,229463.177,0.412340001,0.548367435
au small finance,166383.2277,159485.5595,0.397620067,0.381136043
the jammu kashmir,148116.7731,122735.6428,0.353967176,0.293311679
city union,144650.8495,131156.9442,0.345684365,0.31343677
tamilnad mercantile,123583.8933,127191.0984,0.295338879,0.303959255
idfc first bank,113460.9522,115158.8907,0.271147231,0.275204877
hdfc bank,109210.2104,81747.07682,0.260988874,0.195357858
punjab and sind,103983.1152,93314.06063,0.248497242,0.223000452
ujjivan small finance,97221.60998,87834.00477,0.232338702,0.209904302
fino payment,90828.29823,113370.565,0.217060064,0.270931165
standard chartered,76004.65088,49291.5305,0.181634741,0.117796112
kerala gramin,75159.65776,65693.31556,0.179615389,0.156992836
dbs bank india,72777.51679,64562.23073,0.173922585,0.154289788
