entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%,net_flow_value,flow_type
state bank of india,10859954.85767,7936867.78013,25.952952356299196,18.967399840693506,-2923087.07754,Net Sender
hdfc,4580890.8133,4460120.4748,10.947342100875995,10.6587246665472,-120770.3384999996,Net Sender
bank of baroda,2469329.69915,1948922.28435,5.901165969283254,4.65750334385673,-520407.4147999997,Net Sender
union bank of india,2308022.14414,1842322.69877,5.5156756661694315,4.402753357015577,-465699.4453700001,Net Sender
axis,2261727.5089,3858239.3105,5.405041462023784,9.220358674305203,1596511.8016000004,Net Receiver
icici,2215877.3357,2747157.582,5.295469426395364,6.5651133074984,531280.2462999998,Net Receiver
punjab national,2124099.15575,1677761.19757,5.076139349723089,4.009486910085546,-446337.95817999984,Net Sender
canara,1829021.97324,1587843.40374,4.370968457258064,3.794602802700464,-241178.56949999998,Net Sender
kotak mahindra,1505684.40233,1282100.33049,3.598261325155938,3.063942890061702,-223584.07183999987,Net Sender
bank of india,1206285.126462,964018.59978,2.882761560750858,2.303796250917671,-242266.5266819999,Net Sender
indian,1089204.43866,958620.00154,2.602963941682304,2.290894767078706,-130584.43712000002,Net Sender
central bank of india,613447.193034,505186.657833,1.466006625494636,1.2072870052454345,-108260.53520099999,Net Sender
indian overseas,575386.247521,483056.046654,1.3750491658660682,1.1543996241551402,-92330.20086699998,Net Sender
idbi,523813.85239,427365.00379,1.251802252662762,1.0213100595045637,-96448.84860000003,Net Sender
federal,514754.8267,557425.48244,1.230153133010942,1.332126513849747,42670.655740000075,Net Receiver
indusind,445056.54047,451793.33513,1.0635892452646363,1.0796884955327795,6736.794660000014,Net Receiver
yes,428573.0360303,3669929.1008894,1.0241972209887487,8.770337943367618,3241356.0648591,Net Receiver
uco,422958.092306,376538.64996999997,1.0107787152150216,0.8998460510247966,-46419.44233600004,Net Sender
india post payments,384455.1885,343110.72378,0.9187650704851317,0.8199605269798774,-41344.46471999999,Net Sender
bank of maharashtra,373546.547355,319622.515838,0.8926957683914679,0.7638287828310578,-53924.031516999996,Net Sender
karnataka,289896.77112,253358.91289,0.692790825351233,0.6054730829734641,-36537.85822999998,Net Sender
karur vysya,264896.06316,238239.01544,0.6330445196747068,0.5693397935664766,-26657.04772000003,Net Sender
airtel,256316.28075,428129.04845,0.6125406882101698,1.0231359612284967,171812.7677,Net Receiver
bandhan,244205.9344,229770.03413,0.5835995695813154,0.5491007573118624,-14435.900270000013,Net Sender
the south indian,187193.945291,169812.610538,0.4473531987192195,0.4058154641469224,-17381.334753000003,Net Sender
idfc,178193.52206,178428.51171,0.425844126318638,0.42640560714090664,234.98965000000317,Net Receiver
airtel payments,172542.75085,229463.17696,0.41234000057304154,0.5483674349486067,56920.42611,Net Receiver
au small finance,166383.227679,159485.559496,0.39762006725015275,0.3811360425268162,-6897.668183000002,Net Sender
the jammu kashmir,148116.773057,122735.642785,0.35396717617128703,0.29331167859892127,-25381.13027200001,Net Sender
city union,144650.849453,131156.944188,0.3456843654833903,0.313436770173406,-13493.905265000009,Net Sender
tamilnad mercantile,123583.893265,127191.0984441,0.2953388790237246,0.30395925536342244,3607.2051790999976,Net Receiver
idfc first bank,113460.95222,115158.89067,0.271147230891692,0.2752048774224159,1697.938449999987,Net Receiver
hdfc bank,109210.2104,81747.07682,0.2609888737549242,0.1953578583902567,-27463.133579999994,Net Sender
punjab and sind,103983.115222,93314.060631,0.2484972424457328,0.2230004515355431,-10669.054590999993,Net Sender
ujjivan small finance,97221.609975,87834.004765,0.2323387016569263,0.20990430156313453,-9387.605209999994,Net Sender
fino payment,90828.298226,113370.565032,0.2170600640018556,0.2709311653787016,22542.266806,Net Receiver
standard chartered,76004.65088,49291.530498,0.1816347405673289,0.1177961122214878,-26713.120382,Net Sender
kerala gramin,75159.6577596,65693.3155563,0.17961538906149338,0.15699283615844534,-9466.342203299995,Net Sender
dbs bank india,72777.51678600001,64562.230727,0.17392258536165434,0.154289787700868,-8215.286059000005,Net Sender
icici banking corporation,65476.89619,51995.73483,0.15647567503996115,0.12425857653825376,-13481.161359999998,Net Sender
rbl,63667.4819143,126689.3595989,0.1521515647553881,0.3027602078857334,63021.877684600004,Net Receiver
equitas small finance,63660.6920597,67557.0365069,0.15213533846575344,0.16144672671587734,3896.3444471999974,Net Receiver
esaf small finance bank,61718.529806,51960.914319,0.14749398911402203,0.12417536303727449,-9757.615486999995,Net Sender
telangana grameena,60465.09209256,50102.1761248,0.14449854302931556,0.11973338019149464,-10362.915967760004,Net Sender
saraswat,58938.690776999996,44332.171506,0.14085077274495358,0.10594431532116674,-14606.519270999997,Net Sender
rajasthan marudhara gramin,56228.7759079,50535.690965,0.13437466005303872,0.12076938703181687,-5693.084942900001,Net Sender
maharashtra gramin,55584.682034,46576.426389,0.13283541446303473,0.1113075997917558,-9008.255644999997,Net Sender
fino payments bank limited fip,53460.940473,78636.244419,0.12776012968772116,0.18792364080950408,25175.303945999993,Net Receiver
andhra pragathi grameena,50754.247807,43827.3730346,0.12129171736699867,0.10473795599765817,-6926.874772399999,Net Sender
sbi cards and payment services,49435.9005076,179.90189000200002,0.11814115135647617,0.0004299266630479896,-49255.998617598,Net Sender
axis bank,46757.21356,36598.46184,0.11173966666895889,0.08746241949645699,-10158.751719999993,Net Sender
karnataka gramin,43561.0336297,37323.3151442,0.10410148524552042,0.08919466234432562,-6237.718485500001,Net Sender
sarva haryana gramin,42056.5212033,34724.1713064,0.10050602469033751,0.08298326991840571,-7332.349896899999,Net Sender
andhra pradesh grameena vikas bank imps,39076.3611197,31995.9508198,0.09338408415950832,0.07646341217900085,-7080.410299899999,Net Sender
hsbc,37156.510461,27603.902472,0.08879605471284256,0.0659673651942021,-9552.607988999996,Net Sender
baroda up,34157.729878,37370.2536471,0.08162961520019324,0.08930683522877969,3212.5237691,Net Receiver
kotak mahindra bank,32562.38599,27047.1464,0.07781708702122618,0.06463683842672897,-5515.239589999997,Net Sender
jio payments bank,31681.9479646,46784.279959,0.07571302982896795,0.11180432493317438,15102.3319944,Net Receiver
karnataka gramin erstwhile pragathi krishna gramin,30113.508898,25694.049388,0.07196479837656193,0.06140322880126647,-4419.459510000001,Net Sender
csb,29183.2707267,26315.422585700002,0.06974172956493527,0.06288817654357007,-2867.8481409999986,Net Sender
baroda rajasthan kshetriya gramin,27882.332318,25206.0962266,0.06663276705247831,0.06023712613051583,-2676.236091400002,Net Sender
karnataka vikas grameena,23635.5578375,21494.327830000002,0.056483891002360856,0.05136680130658273,-2141.2300074999985,Net Sender
thane janata sahakari,23356.576983,17930.8900297,0.05581718686592104,0.042850954572315414,-5425.686953299999,Net Sender
utkarsh small finance,23349.2915096,27485.257040200002,0.05579977615413436,0.06568382823647978,4135.965530600002,Net Receiver
dhanalakshmi,23266.964683000002,20324.8950289,0.05560303277569518,0.048572109478552464,-2942.0696541000034,Net Sender
dcb,22808.285516,22738.795232,0.05450688838798894,0.05434080962527194,-69.49028399999952,Net Sender
the shamrao vithal cooperative bank,21489.466191,15745.178784,0.05135519433797931,0.03762757675099392,-5744.287407,Net Sender
chattisgarh rajya gramin,20421.0677857,15431.7368502,0.048801952333413015,0.036878518224391206,-4989.3309355,Net Sender
the cosmos cooperative bank,19912.282529199998,23912.7629328,0.04758606518704921,0.05714633888416663,4000.4804036000023,Net Receiver
prathama up gramin,19488.55651827,18412.1473659,0.04657345131176923,0.04400105566695945,-1076.4091523700008,Net Sender
tri o tech solutions private,19219.1118339,20098.2144777,0.04592953656739311,0.048030391918196594,879.1026438000008,Net Receiver
chaitanya godavari grameena,17596.17881218,16787.109187449998,0.0420510763028538,0.04011756538579105,-809.0696247300002,Net Sender
dakshin bihar gramin,17391.99209385,17336.58114692,0.04156311403762717,0.041430684697493406,-55.41094692999832,Net Sender
jana small finance bank,16981.1086354,18463.249286899998,0.04058119109587452,0.04412317822148418,1482.140651499998,Net Receiver
mizoram rural,16159.5856327,13525.0190959,0.03861792811475644,0.03232187459229016,-2634.566536800001,Net Sender
baroda up erstwhile baroda uttar pradesh gramin,16151.625791999999,19097.201755000002,0.03859890581041372,0.04563818770325361,2945.575963000003,Net Receiver
one mobikwik systems,14917.287897,38374.17683,0.035649104176764694,0.09170599481501815,23456.888932999995,Net Receiver
the banaskantha district central coop bank,14494.1192427,7440.30814406,0.03463782226374913,0.01778072955425279,-7053.811098640001,Net Sender
abhyudaya,14431.7662121,12602.2812677,0.03448881195443926,0.030116730469892314,-1829.4849443999992,Net Sender
the bharat co operative bank mumbai,14003.4333959,11078.6446441,0.033465188807090096,0.026475568004757727,-2924.788751799999,Net Sender
slice small finance,13760.133029,13470.175873,0.03288375334873124,0.03219081113424683,-289.9571560000004,Net Sender
jharkhand rajya gramin erstwhile vananchal gramin,13722.1035881,12311.3298496,0.03279287117834014,0.029421419418455205,-1410.7737385,Net Sender
nsdl,13521.1623616,35842.406001,0.03231266493935309,0.08565560932933976,22321.243639400003,Net Receiver
amazon,12874.4538907,16731.1789386,0.03076717102582832,0.03998390417049611,3856.7250478999977,Net Receiver
the gayatri cooperative urban bank,12842.4335212,11973.73738,0.030690649241441926,0.02861464632716837,-868.6961412,Net Sender
idbi bank,12795.84127,11243.20865,0.030579303799272588,0.026868840437379807,-1552.6326200000003,Net Sender
punjab gramin,12637.6014591,11326.01608345,0.030201144743642903,0.027066732319106737,-1311.58537565,Net Sender
dcb bank,12567.447623,12474.59775,0.030033492189854516,0.029811594438856844,-92.8498729999992,Net Sender
g p parsik sahakari bank,12461.7089543,8832.5730997,0.029780799552826528,0.021107942105773554,-3629.135854600001,Net Sender
prathama up gramin erstwhile sarva up gramin,12217.239109,12018.883736,0.029196569293053233,0.02872253636758785,-198.35537300000033,Net Sender
janata sahakari,11657.519902,9767.2754207,0.027858960978602725,0.023341678781948958,-1890.2444813000002,Net Sender
uttarakhand gramin bank imps,11437.1680253,9597.7065664,0.027332367467619828,0.022936445842565947,-1839.4614588999993,Net Sender
suryoday small finance,11388.8128725,30200.3232977,0.027216809070439787,0.07217225020930171,18811.510425200002,Net Receiver
north east small finance,11366.75232967,10569.96351182,0.027164089125971812,0.025259929960298147,-796.7888178499998,Net Sender
idfc bank credit card,10765.3804239,81.501848319,0.025726939835443892,0.00019477181523574612,-10683.878575581,Net Sender
fincare small finance,10083.331513000001,11101.326549,0.024096989884339656,0.026529772858776324,1017.9950359999984,Net Receiver
