,remitter_value,remitter_value,beneficiary_value,beneficiary_value,remitter_cv,beneficiary_cv,avg_cv
,mean,std,mean,std,,,
entity name,,,,,,,
a b e coop bank,1.82596445,,1.3854213,,,,
abhinandan urban coop bank,25.44151724,,21.75714562,,,,
abhinandan urban coop bank amravati,6.575761052111111,2.7934625185960895,6.145761555388889,2.45069363266875,0.42481204783121856,0.3987615872470464,0.4117868175391325
abhivriddhi mahila sahakara bank niyamita,0.0,,0.003,,,,
abhyudaya,801.7647895611111,103.05735338745578,700.1267370944445,63.845137702805395,0.12853813827852148,0.09119082920296033,0.1098644837407409
abhyudaya cooperative bank,417.4594131,,577.6125572,,,,
abhyudaya mahila urban coop bank ltd channapatna,0.0,,0.15,,,,
ace coop bank,0.4408254,,4.531306292,,,,
ace cooperative bank,1.1051306504444445,0.5079482844286742,0.46250036083333335,0.2353564339774285,0.45962736100423546,0.5088783791505874,0.48425287007741147
adarniya p d patil sah,0.0,,5.8847383,,,,
adarniya p d patilsaheb sahakari bank ltd karad,14.96845403,2.547439398664499,11.550764667166668,2.3433739358027657,0.17018720794805414,0.20287608685023803,0.18653164739914607
adarsh cooperative bank,0.0,,95.4847306,,,,
adarsh cooperative bank rajasthan,43.734708155,5.598617404691132,63.91634419833334,6.759385610126375,0.12801314198437302,0.10575363304809648,0.11688338751623475
adarsh mahila mercantile cooperative bank,0.0,,1.83567898,,,,
adhyapaka urban coop bank,0.0,,0.108078,,,,
adinath coop bank,17.71591468,,24.01112251,,,,
adv shamraoji shinde satyashodhak sahakar bank,2.0746519,,1.29951358,,,,
agartala co operative urban,0.0,,0.2360768,,,,
agra zila sahkari bank,2.9487826365,1.650335111398308,5.271613777000001,3.1524989581621754,0.5596665861262468,0.5980140221797919,0.5788403041530193
agroha coop bank,0.0,,2.063421,,,,
agroha cooperative urban bank,0.3700516632352941,0.1964265253198067,0.4695953443529412,0.27228089255040283,0.5308083838956038,0.5798202555129259,0.5553143197042649
